מספר הגרלה,סוג הגרלה,זכאות,סיום הרשמה,יישוב,קבלן,דירות בהגרלה,נרשמים בהגרלה,מחיר למטר,מענק,הערות,יחס נרשמים/דירות,אחוז סיכוי משוער
2736,1,חסרי דיור,2026/06/22,כפר מנדא,"ע.פ. עראבי הצפון לבניה בע""מ",72,1390,"₪6,934.00",₪0,המחיר המוצג הוא לפני הנחה. סכום ההנחה במסלול זה עומד על הנמוך מבין אלה: א. 25% ממחיר הדירה המוצג (כולל מע&quot;מ) ב. ...,19.31,5.18%
2737,1,חסרי דיור,2026/06/22,כפר מנדא,"סוהיל יזמות מנדא 2025 בע""מ         ",59,1333,"₪6,934.00",₪0,המחיר המוצג הוא לפני הנחה. סכום ההנחה במסלול זה עומד על הנמוך מבין אלה: א. 25% ממחיר הדירה המוצג (כולל מע&quot;מ) ב. ...,22.59,4.43%
2756,1,חסרי דיור,2026/06/22,בת חפר,"סלם יעקב א.י. השקעות ונכסים בע""מ",147,6574,"₪10,449.00",₪0,יובהר כי בהגרלה זו ייחשבו כבני מקום כלל בני מקום המועצה האזורית עמק חפר &nbsp; המחיר המוצג הוא לפני הנחה. סכום ההנחה ...,44.72,2.24%
2728,1,חסרי דיור,2026/06/22,יהוד,"עמרם אברהם חברה לבנין בע""מ",121,6024,"₪19,561.00",₪0,המחיר המוצג הוא לפני הנחה. סכום ההנחה במסלול זה עומד על הנמוך מבין אלה: א. 25% ממחיר הדירה המוצג (כולל מע&quot;מ) ב. ...,49.79,2.01%
2729,1,חסרי דיור,2026/06/22,יקנעם עילית,"יורו אסטייט בע""מ",89,4509,"₪17,402.00",₪0,המחיר המוצג הוא לפני הנחה. סכום ההנחה במסלול זה עומד על הנמוך מבין אלה: 25% ממחיר הדירה המוצג (כולל מע&quot;מ) עד 550...,50.66,1.97%
2675,1,חסרי דיור,2026/06/22,אשדוד,"עמרם אברהם חברה לבנין בע""מ",256,13339,"₪15,351.00",₪0,המחיר המוצג הוא לפני הנחה. סכום ההנחה במסלול זה עומד על הנמוך מבין אלה : א. 25% ממחיר הדירה המוצג ( כולל מע&quot;מ) ב...,52.11,1.92%
2709,1,חסרי דיור,2026/06/22,נהרייה,"ספייס בניה וייזמות בע""מ",170,9981,"₪8,060.00",₪0,המחיר המוצג הוא לפני הנחה. סכום ההנחה במסלול זה עומד על הנמוך מבין אלה: א. 25% ממחיר הדירה המוצג (כולל מע&quot;מ) ב. ...,58.71,1.70%
2696,1,חסרי דיור,2026/06/22,קריית גת,"בראל א.ב. הנדסה ובנייה בע""מ",303,18333,"₪10,223.00",₪0,המחיר המוצג הוא לפני הנחה. סכום ההנחה במסלול זה עומד על הנמוך מבין אלה : א. 25% ממחיר הדירה המוצג ( כולל מע&quot;מ) ב...,60.50,1.65%
2712,1,חסרי דיור,2026/06/22,מעלה אדומים,"עמרם אברהם חברה לבנין בע""מ",184,13514,"₪13,800.00",₪0,המחיר המוצג הוא לפני הנחה. סכום ההנחה במסלול זה עומד על הנמוך מבין אלה: א. 25% ממחיר הדירה המוצג (כולל מע&quot;מ) ב. ...,73.45,1.36%
2711,1,חסרי דיור,2026/06/22,אילת,"ליאם נחמיאס חברה לבניין בע""מ",99,7350,"₪9,920.00",₪0,המחיר המוצג הוא לפני הנחה. סכום ההנחה במסלול זה עומד על הנמוך מבין אלה: א. 25% ממחיר הדירה המוצג (כולל מע&quot;מ) ב. ...,74.24,1.35%
2697,1,חסרי דיור,2026/06/22,קריית גת,"רייסדור יזמות בע""מ",245,18402,"₪10,319.00",₪0,המחיר המוצג הוא לפני הנחה. סכום ההנחה במסלול זה עומד על הנמוך מבין אלה : א. 25% ממחיר הדירה המוצג ( כולל מע&quot;מ) ב...,75.11,1.33%
2742,1,חסרי דיור,2026/06/22,רכסים,"עמרם אברהם חברה לבנין בע""מ",94,7339,"₪10,758.00",₪0,המחיר המוצג הוא לפני הנחה. סכום ההנחה במסלול זה עומד על הנמוך מבין אלה : א. 25% ממחיר הדירה המוצג ( כולל מע&quot;מ) ב...,78.07,1.28%
2743,1,חסרי דיור,2026/06/22,רכסים,"וייס בולטהאופ התחדשות עירונית בע""מ",92,7196,"₪10,742.00",₪0,המחיר המוצג הוא לפני הנחה. סכום ההנחה במסלול זה עומד על הנמוך מבין אלה : א. 25% ממחיר הדירה המוצג ( כולל מע&quot;מ) ב...,78.22,1.28%
2757,1,חסרי דיור,2026/06/22,בת חפר,"בראל מכרזים למגורים בע""מ",79,6450,"₪10,784.00",₪0,יובהר כי בהגרלה זו ייחשבו כבני מקום כלל בני מקום המועצה האזורית עמק חפר &nbsp; המחיר המוצג הוא לפני הנחה. סכום ההנחה ...,81.65,1.22%
2713,1,חסרי דיור,2026/06/22,מעלה אדומים,"שובל ברוך יזמות בע""מ",160,13555,"₪13,800.00",₪0,המחיר המוצג הוא לפני הנחה. סכום ההנחה במסלול זה עומד על הנמוך מבין אלה: א. 25% ממחיר הדירה המוצג (כולל מע&quot;מ) ב. ...,84.72,1.18%
